"Dominica","16","0","9"
"Namibia","16","0","6"
"San Cristóbal y Nieves","15","0","0"
"Santa Lucía","15","0","13"
"Islas Marianas del Norte","14","2","0"
"Curazao","14","1","11"
"Granada","14","0","6"
"República Centroafricana","14","0","10"
"San Vicente y las Granadinas","13","0","3"
"Burundi","11","1","4"
"Islas Turcas y Caicos","11","1","0"
"Åland","11","0","0"
"Groenlandia","11","0","11"
"Islas Malvinas","11","0","4"
"Montserrat","11","0","2"
"Seychelles","11","0","5"
"Nicaragua","10","2","7"
"Gambia","10","1","2"
"Surinam","10","1","6"
"Acrotiri y Dhekelia","10","0","0"
"Ciudad del Vaticano","9","0","2"
"Mauritania","7","1","6"
"Artsaj","7","0","0"
"Papúa Nueva Guinea","7","0","0"
"Bután","6","0","2"
"San Bartolomé","6","0","6"
"Sahara Occidental","6","0","0"
"Somalilandia","6","0","0"
"Islas Vírgenes Británicas","5","1","3"
"Santo Tomé y Príncipe","4","0","0"
"Sudán del Sur","4","0","0"
"Abjasia","3","0","0"
"Anguila","3","0","1"
"San Eustaquio","2","0","0"
"Saba","2","0","0"
"Isla de Pascua","2","0","0"
"Bonaire","2","0","0"
"San Pedro y Miquelón","1","0","0"
